artist_name,artist_url,works,work_urls,category
Rough Bush and Other Poems,https://ubu.com/ubu/ferguson_bush.html,Download PDF,https://ubu.com/ubu/pdf/ferguson_bush.pdf,/ubu Editions
The Relative Minor,https://ubu.com/ubu/ferguson_relative.html,Download PDF,https://ubu.com/ubu/pdf/ferguson_relative.pdf,/ubu Editions
This Window Makes Me Feel,https://ubu.com/ubu/fitterman_window.html,"Download PDF, ""This Window Makes Me Feel"" set to music by John Supko","https://ubu.com/ubu/pdf/fitterman_window.pdf, https://ubu.com/sound/supko.html",/ubu Editions
Now That Communism is Dead My Life Feels Empty,https://ubu.com/ubu/foreman_commie.html,Download PDF,https://ubu.com/ubu/pdf/foreman_commie.pdf,/ubu Editions
Vexed,https://ubu.com/ubu/grim_vexed.html,Download PDF,https://ubu.com/ubu/pdf/grim_vexed.pdf,/ubu Editions
Horizons (1984),https://ubu.com/ubu/higgins_horizons.html,Download PDF,https://ubu.com/ubu/pdf/higgins_horizons.pdf,/ubu Editions
"Name, A Novel",https://ubu.com/ubu/toadex_name.html,Download PDF,https://ubu.com/ubu/pdf/toadex_name.pdf,/ubu Editions
Cruise of the Pnyx,https://ubu.com/ubu/kelly_pnyx.html,Download PDF,https://ubu.com/ubu/pdf/kelly_pnyx.pdf,/ubu Editions
São Paolo,https://ubu.com/ubu/kent_sao.html,Download PDF,https://ubu.com/ubu/pdf/kent_sao.pdf,/ubu Editions
The Mauberley Series,https://ubu.com/ubu/kunin_mauberley.html,Download PDF,https://ubu.com/ubu/pdf/kunin_mauberley.pdf,/ubu Editions
Trancelated (from Coinsides),https://ubu.com/ubu/lightman_trance.html,Download PDF,https://ubu.com/ubu/pdf/lightman_trance.pdf,/ubu Editions
Spleen: Thirty-one versions of Baudelaire's Je suis comme le roi...,https://ubu.com/ubu/moore_spleen.html,Download PDF,https://ubu.com/ubu/pdf/moore_spleen.pdf,/ubu Editions
Spaghetti Dreadful (trailer for A Penny Dreadful),https://ubu.com/ubu/morin_spaghetti.html,Download PDF,https://ubu.com/ubu/pdf/morin_spaghetti.pdf,/ubu Editions
The Outrage Against Words (1978),https://ubu.com/ubu/noel_outrage.html,Download PDF,https://ubu.com/ubu/pdf/noel_outrage.pdf,/ubu Editions
Circadium,https://ubu.com/ubu/price_circadium.html,Download PDF,https://ubu.com/ubu/pdf/price_circadium.pdf,/ubu Editions
