artist_name,artist_url,works,work_urls,category
Books,https://ubu.com/emr/books.html,"An Individual Note: of Music Sound and Electronics, Hardware Design of a Real-time Musical System, Magic Music From the Telharmonium, Bio-potentials as Control Data for Spontaneous Music, Electronic Music: a Handbook of Sound Synthesis and Control, Geluid-Kijken [sound-sight], Introduction, Music and Technology in the Europe of 1970, Werner Kaegi., Interrogatory of a Musician, Albert Richard., Weltanschauung, Science, Technology, and Art, Carl Lesche., Music and Computers, Pierre Schaeffer., The Use of Computer Programmes in Creating Music, Gottfried Koenig., Synthesis of Sounds by Computer and Problems Concerning Timbre, Jean-Claude Risset., The Electronic Sound Studio of the 1970's, Max Mathews., The Training of the Composer in the Use of New Technological Means, Gustav Ciamaga., New Technology and the Training of Composers in Experimental Music, Krzysztof Szlifirski., Space in Electronic Music, Kurt Blaukopf., Music and Technology in Japan, Minao Shibata., Technology and the Composer, Herbert Brun., UNESCO Report on the Stockholm Meeting, Everett Helm., Participants","https://ubu.com/media/text/emr/books/oram_anindividual.pdf, https://ubu.com/media/text/emr/books/franco_realtime.pdf, https://ubu.com/media/text/emr/books/weidenaar_teleharmonium.pdf, https://ubu.com/media/text/emr/books/eaton_biopotentials.pdf, https://ubu.com/media/text/emr/books/eaton_handbook.pdf, https://ubu.com/media/text/emr/books/geluid.pdf, https://ubu.com/media/text/emr/books/UNESCO/1_Intro.pdf, https://ubu.com/media/text/emr/books/UNESCO/2_Kaegi.pdf, https://ubu.com/media/text/emr/books/UNESCO/3_Richard.pdf, https://ubu.com/media/text/emr/books/UNESCO/4_Lesche.pdf, https://ubu.com/media/text/emr/books/UNESCO/5_Schaeffer.pdf, https://ubu.com/media/text/emr/books/UNESCO/6_Koenig.pdf, https://ubu.com/media/text/emr/books/UNESCO/7_Rissett.pdf, https://ubu.com/media/text/emr/books/UNESCO/8_Mathews.pdf, https://ubu.com/media/text/emr/books/UNESCO/9_Ciamaga.pdf, https://ubu.com/media/text/emr/books/UNESCO/10_Szlifirski.pdf, https://ubu.com/media/text/emr/books/UNESCO/11_Blaukopf.pdf, https://ubu.com/media/text/emr/books/UNESCO/12_Shibata.pdf, https://ubu.com/media/text/emr/books/UNESCO/13_Brun.pdf, https://ubu.com/media/text/emr/books/UNESCO/14_Helm.pdf, https://ubu.com/media/text/emr/books/UNESCO/15_Participants.pdf",Electronic Music Resources
Periodicals,https://ubu.com/emr/periodicals.html,"Electronic Music Review N°1, Electronic Music Review N°2-3, Electronic Music Review N°4, Electronic Music Review N°5, Electronic Music Review N°6, Electronic Music Review N°7","https://ubu.com/media/text/emr/periodicals/EMR1.pdf, https://ubu.com/media/text/emr/periodicals/EMR2_3.pdf, https://ubu.com/media/text/emr/periodicals/EMR4.pdf, https://ubu.com/media/text/emr/periodicals/EMR5.pdf, https://ubu.com/media/text/emr/periodicals/EMR6.pdf, https://ubu.com/media/text/emr/periodicals/EMR7.pdf",Electronic Music Resources
Articles,https://ubu.com/emr/articles.html,"""Neue Instrumente und Klangskulpturen: Ein Überblick"", ""A Simple Ring-Modulator"", ""Making Analogs with a Magnet"", ""Making and Performing Simple Electroacoustic Instruments"", ""Simple equipment for electronic music making"", ""Tones from out of Nowhere"", ""Sounding Ornaments"", ""Music in the Cartoon and Experimental Animated Film"", ""Max Neuhaus: Invisible Sculpture Molded Sound"", ""Notes on Place and Moment"", ""Production-Reproduction"" & ""New Form in Music. Potentialities of the Phonograph"", ""A Ford to Travel: ONCE in Ann Arbor"", ""Panel Discussion"" Gordon Mumma & Alvin Lucier, ""Live Electronic Music"", Witchcraft, Cybersonics, and Folkloric Virtuosity"", ""Notes on a Piece for Tape Recorder"", ""Richard Lerman"", ""A Guide for working with Piezo Electric Disks to introduce Children to Issues of Acoustic Ecology and Sonic Creativity"", ""Piezo Disks, Audio Schematics, and a Condenser Mic"", ""Interview with Richard Lerman"", ""How to Make a Tape Delay for 2 Sony Walkman Pro Cassette Recorders"", ""Windharps"", ""TT-601: Electronic Music"", ""TT-602: The Terminology of Electronic Music"", ""TT-603 The Technical Facilities of the Electronic Music Studio [of the Cologne Broadcasting Station]"", TT-604 Magnetic-tape Technique"", ""TT-605 Filter Circuits for Electronic Sound Production"", ""TT-606 The Electronic Monochord"", ""TT-607 The Melochord of the Cologne Studio for Electronic Music"", ""TT-608 The Mathematical-Acoustical Fundamentals of Electrical Sound Composition"", ""TT-609 The Production of Sound Effects for Radio Dramas"", ""TT-610 The Place of Electronic Music in the Musical Situation"", ""TT-611 Electronic Music Composition no. 2, 1953"", ""TT-612 Problems of Electronic Music Notation""","https://ubu.com/media/text/emr/articles/davies in german.pdf, https://ubu.com/media/text/emr/articles/davies_simple ringmod.pdf, https://ubu.com/media/text/emr/articles/makinganalogswithmagnets.pdf, https://ubu.com/media/text/emr/articles/davies_makingandperforming.pdf, https://ubu.com/media/text/emr/articles/bentley_simpleequipment.pdf, https://ubu.com/media/text/emr/articles/levin_tonesfromnowhere.pdf, https://ubu.com/media/text/emr/articles/fischinger_ sounding ornaments.pdf, https://ubu.com/media/text/emr/articles/prendergast_filmmusicneglected.pdf, https://ubu.com/media/text/emr/articles/neuhaus_invisible.pdf, https://ubu.com/media/text/emr/articles/neuhaus_notes.pdf, https://ubu.com/media/text/emr/articles/moholynagyarticles.pdf, https://ubu.com/media/text/emr/articles/afordtotravel4.pdf, https://ubu.com/media/text/emr/articles/luciermumma.pdf, https://ubu.com/media/text/emr/articles/mumma_liveelectronic.pdf, https://ubu.com/media/text/emr/articles/mumma_witchcraft.pdf, https://ubu.com/media/text/emr/articles/ussachevsky_notesonpiece.pdf, https://ubu.com/media/text/emr/articles/richard_lerman/lerman_article.pdf, https://ubu.com/media/text/emr/articles/richard_lerman/lerman_children.pdf, https://ubu.com/media/text/emr/articles/richard_lerman/lerman_circuits.pdf, https://ubu.com/media/text/emr/articles/richard_lerman/lerman_interview.pdf, https://ubu.com/media/text/emr/articles/richard_lerman/lerman_tapedelay.pdf, https://ubu.com/media/text/emr/articles/richard_lerman/lerman_windharps.pdf, https://ubu.com/media/text/emr/articles/nwdr/tt601-eimert.pdf, https://ubu.com/media/text/emr/articles/nwdr/tt602-eppler.pdf, https://ubu.com/media/text/emr/articles/nwdr/tt603-enkel.pdf, https://ubu.com/media/text/emr/articles/nwdr/tt604-enkelschutz.pdf, https://ubu.com/media/text/emr/articles/nwdr/tt605-adams.pdf, https://ubu.com/media/text/emr/articles/nwdr/tt606-trautwein.pdf, https://ubu.com/media/text/emr/articles/nwdr/tt607-bode.pdf, https://ubu.com/media/text/emr/articles/nwdr/tt608-eppler.pdf, https://ubu.com/media/text/emr/articles/nwdr/tt609enkelschutz.pdf, https://ubu.com/media/text/emr/articles/nwdr/tt610-eimert.pdf, https://ubu.com/media/text/emr/articles/nwdr/tt611-stockhausen.pdf, https://ubu.com/media/text/emr/articles/nwdr/tt612-eimertenkelstock.pdf",Electronic Music Resources
Interviews & Media,https://ubu.com/emr/interviews.html,"An Interview with David Behrman, Interview with Joyce Hinterding, Fishing for Sound: An Interview with Improvisational muslcian/sound Installation artist Takehlsa Kosugi, Intona, Conversation with David Tudor, Ralph Jones Interview, Ralph Jones Interview, Star Networks Performance Instruction, Star Networks notes, Star Networks Merce Cunningham Program, Star Networks recording, ""Dry Pool Soundings"" notes, ""Sound Sculpture Residency"" notes, ""Dry Pool Sounding Photograph"", Residency Report, Ultrasound Hunting Photos, Directional Loudspeakers, Circuitree, Digital Filters, John Driscoll Interview, A Gift fur den Geist Score, A Hall is All Score, Bottom Coasting Score, Ebers and Moll Score, It's In Them and It's Just Gotta Come Out Score, Listening Out Loud Score, Stall Score, Design Residency Gas Instrument, Phil Edelstein Interview (with John Driscoll)","https://ubu.com/media/text/emr/interviews_media/behrman_interview.pdf, https://ubu.com/media/text/emr/interviews_media/hinterding_interview.pdf, https://ubu.com/media/text/emr/interviews_media/kosugi_interview.pdf, https://ubu.com/film/raaijmakers_intona.html, https://ubu.com/media/text/emr/interviews_media/FTNK_DT_with_GM_and_RF-excerpt-NR.mp3, https://ubu.com/media/sound/emr/Ralph_Jones_interview.mp3, https://ubu.com/media/text/emr/interviews_media/inside_electronics/jones/jonesinterview.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/jones/star-networks_perf-instructions.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/jones/star-networks_notes.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/jones/star-netw_mcdc.pdf, https://ubu.com/media/sound/emr/Star-Networks-MSB.mp3, https://ubu.com/media/text/emr/interviews_media/inside_electronics/jones/dry-pool-sndings_program_ocr.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/jones/dry_pool_driscoll-jones-wada.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/jones/Dry-Pool-Soundings.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/jones/residency-report_photos.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/jones/UltrasoundHunting.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/jones/Directional.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/jones/Circuitree.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/jones/DigitalFilter.pdf, https://ubu.com/media/sound/emr/Driscoll_Interview.mp3, https://ubu.com/media/text/emr/interviews_media/inside_electronics/driscoll/DriscollAGift.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/driscoll/DriscollAHall.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/driscoll/DriscollBottomCoasting.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/driscoll/DriscollEbers.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/driscoll/DriscollItsinThem.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/driscoll/DriscollListening.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/driscoll/DriscollStall.pdf, https://ubu.com/media/text/emr/interviews_media/inside_electronics/driscoll/DriscollGass.pdf, https://ubu.com/media/sound/emr/Phil_Edelstein_interview.mp3",Electronic Music Resources
