category,search_term,title,identifier,url,mediatype,confidence_score,creator,publisher,page_count
visual_art_and_artists,Jean Dubuffet,The common man: works by Jean Dubuffet : [exhibition catalogue],commonmanworksby0000dubu,https://archive.org/details/commonmanworksby0000dubu,texts,70,"Dubuffet, Jean, 1901-",Montreal : The Montreal Museum of Fine Arts,70
visual_art_and_artists,Jean Dubuffet,Jean Dubuffet Asphyxiante culture,jeandubuffetasph0000unse,https://archive.org/details/jeandubuffetasph0000unse,texts,70,,,166
visual_art_and_artists,Larry Clark,"The American trip : Larry Clark, Nan Goldin, Cady Noland, Richard Prince : 2 February-8 April 1996, the Power Plant",americantriplarr0000monk,https://archive.org/details/americantriplarr0000monk,texts,70,"Monk, Philip, 1950-",Toronto : The Power Plant,68
visual_art_and_artists,Cy Twombly,Cy Twombly,cytwombly0000bart,https://archive.org/details/cytwombly0000bart,texts,70,"Barthes, Roland, (1915-1980)",Paris : Seuil,86
visual_art_and_artists,Cy Twombly,Cy Twombly : cinquante années de dessins,cytwomblycinquan0000twom,https://archive.org/details/cytwomblycinquan0000twom,texts,70,"Twombly, Cy, 1928-2011",Paris : Gallimard : Centre Pompidou,186
visual_art_and_artists,Cy Twombly,Cy Twombly : eight sculptures,cytwomblyeightsc0000twom,https://archive.org/details/cytwomblyeightsc0000twom,texts,70,"Twombly, Cy, 1928-2011",New York : Gagosian Gallery,66
visual_art_and_artists,Robert Motherwell,Robert motherwell : open,robertmotherwell0000moth_t7u2,https://archive.org/details/robertmotherwell0000moth_t7u2,texts,70,"Motherwell, Robert",London : 21 Publishing,194
visual_art_and_artists,Robert Motherwell,Bradley Walker Tomlin,bradleywalkertom0000john,https://archive.org/details/bradleywalkertom0000john,texts,70,"John I.H. Baur [Notes by Philip Guston, Robert Motherwell, Duncan Phillips and Frederick S. Wright]",Macmillan Company,72
visual_art_and_artists,Robert Motherwell,robert motherwell with selections from the artist's writings,robertmotherwell0000unse,https://archive.org/details/robertmotherwell0000unse,texts,70,,,102
visual_art_and_artists,Francis Picabia,Poèmes et dessins de la fille née sans mère,poemesetdessinsd0000pica,https://archive.org/details/poemesetdessinsd0000pica,texts,70,"Picabia, Francis, 1879-1953",Paris : Allia,98
visual_art_and_artists,Francis Picabia,"Francis Picabia : dans les collections du Centre Pompidou, Musée national d'art moderne",francispicabiada0000pica,https://archive.org/details/francispicabiada0000pica,texts,70,"Picabia, Francis, 1879-1953",Paris : Éditions du Centre Pompidou,158
visual_art_and_artists,Antoni Tapies,Antoni Tàpies. Galerie Boisseree 2019,antoni-tapies.-galerie-boisseree-2019,https://archive.org/details/antoni-tapies.-galerie-boisseree-2019,texts,70,Galerie Boisseree.,,
visual_art_and_artists,Wallace Berman,Artist file: Wallace Berman: miscellaneous uncataloged material,artistfilebermanwallace,https://archive.org/details/artistfilebermanwallace,texts,70,"Berman, Wallace, 1926-1976",,79
visual_art_and_artists,Wallace Berman,Wallace Berman: Photographs,wallacebermanpho0000unse,https://archive.org/details/wallacebermanpho0000unse,texts,70,,RoseGallery Los Angeles,162
visual_art_and_artists,Bruce Conner,Artist file : Bruce Conner : miscellaneous uncataloged material,artistfileconnerbruce,https://archive.org/details/artistfileconnerbruce,texts,70,"Conner, Bruce, 1933-2008",,172
visual_art_and_artists,Frank Lloyd Wright,Frank Lloyd Wright Rebel In Concrete,FrankLloydWrightRebelInConcrete_116872_p200_CMU,https://archive.org/details/FrankLloydWrightRebelInConcrete_116872_p200_CMU,texts,70,Aylesa Forsee,Macrae Smith Company,
film_and_cinema,Kenneth Anger,Black leather Lucifer : the films of Kenneth Anger,blackleatherluci0000hunt,https://archive.org/details/blackleatherluci0000hunt,texts,70,"Hunter, Jack",London : Glitter,174
film_and_cinema,Kenneth Anger,Moonchild with Kenneth Anger,Moonchild_201902,https://archive.org/details/Moonchild_201902,texts,70,,,
film_and_cinema,Kenneth Anger,Hollywood Babylon - Kenneth Anger,hollywood-babylon-kenneth-anger,https://archive.org/details/hollywood-babylon-kenneth-anger,texts,70,Kenneth Anger,,
film_and_cinema,Roman Polanski,The cinema of Roman Polanski,cinemaofromanpol0000butl,https://archive.org/details/cinemaofromanpol0000butl,texts,70,"Butler, Ivan",New York : A. S. Barnes ; London : A. Zwemmer Limited,198
