"category","search_term","title","identifier","url","mediatype","confidence_score","creator","publisher","page_count"
"literature","Marquis de Sade","The 120 days of Sodom and other writings","120daysofsodomot00sade","https://archive.org/details/120daysofsodomot00sade","texts","96","Sade, marquis de, 1740-1814, Wainhouse, Austryn, Seaver, Richard","New York : Grove Press","822"
"figures","Napoleon","The confidential correspondence of Napoleon Bonaparte with his brother Joseph [electronic resource]","confidentialcorr01naporich","https://archive.org/details/confidentialcorr01naporich","texts","96","Napoleon I, Emperor of the French, 1769-1821","","416"
"figures","Napoleon","The personality of Napoleon","personalityofnap00roserich","https://archive.org/details/personalityofnap00roserich","texts","96","Rose, J. Holland (John Holland), 1855-1942","New York, London, G. P. Putnam's sons","410"
"figures","Christiane F","Noi, i ragazzi dello zoo di Berlino : un documento-verità sulla droga tra i giovani","noiiragazzidello0000chri","https://archive.org/details/noiiragazzidello0000chri","texts","96","Christiane F","Milano : Rizzoli","358"
"visual_art_and_artists","Francis Picabia","The artwork caught by the tail : Francis Picabia and Dada in Paris","artworkcaughtbyt0000bake","https://archive.org/details/artworkcaughtbyt0000bake","texts","95","Baker, George (George Thomas), 1970-","Cambridge, Mass. : The MIT Press","506"
"visual_art_and_artists","Francis Picabia","I am a beautiful monster : poetry, prose, and provocation","iambeautifulmons0000pica","https://archive.org/details/iambeautifulmons0000pica","texts","95","Picabia, Francis, 1879-1953","Cambridge, Mass. : MIT Press","498"
"visual_art_and_artists","Francis Picabia","Picabia","picabia0000borr","https://archive.org/details/picabia0000borr","texts","95","Borràs, Maria Lluïsa","New York : Rizzoli","562"
"visual_art_and_artists","Bauhaus","Bauhaus, 1919-1928","bauhaus191919280000unse_y5u4","https://archive.org/details/bauhaus191919280000unse_y5u4","texts","95","","New York : Museum of Modern Art","230"
"visual_art_and_artists","Bauhaus","Josef Albers : to open eyes : the Bauhaus, Black Mountain College, and Yale","josefalberstoope0000horo","https://archive.org/details/josefalberstoope0000horo","texts","95","Horowitz, Frederick A","London : Phaidon","292"
"visual_art_and_artists","Bruce Conner","Bruce Conner : it's all true","isbn_9780520290563","https://archive.org/details/isbn_9780520290563","texts","95","","San Francisco : San Francisco Museum of Modern Art in association with University of California Press","394"
"visual_art_and_artists","Frank Lloyd Wright","Urban utopias in the twentieth century : Ebenezer Howard, Frank Lloyd Wright, and Le Corbusier","urbanutopiasintw0000fish","https://archive.org/details/urbanutopiasintw0000fish","texts","95","Fishman, Robert, 1946-","Cambridge, Mass. : MIT Press","390"
"film_and_cinema","Roman Polanski","Roman Polanski","romanpolanski0000feen","https://archive.org/details/romanpolanski0000feen","texts","95","Feeney, F. X., 1953-2020","Köln ; London : Taschen","202"
"literature","Albert Camus","Notebooks, 1935-1942","notebooks19351942000unse","https://archive.org/details/notebooks19351942000unse","texts","95","Camus, Albert, 1913-1960","New York, Knopf","256"
"literature","Friedrich Nietzsche","Menschliches, allzumenschliches. Ein buch für freie geister","bub_gb_bzUAAAAAMAAJ","https://archive.org/details/bub_gb_bzUAAAAAMAAJ","texts","95","Nietzsche, Friedrich Wilhelm, 1844-1900, Gast, Peter, 1854-1918","Leipzig, C.G. Naumann","841"
"literature","Friedrich Nietzsche","The young Nietzsche","youngnietzsche00fr","https://archive.org/details/youngnietzsche00fr","texts","95","Förster-Nietzsche, Elisabeth, 1846-1935, Ludovici, Anthony Mario","London : W. Heinemann","448"
"literature","Friedrich Nietzsche","Jenseits von Gut und Böse : Vorspiel einer Philosophie der Zukunft","jenseitsvongutu00nietgoog","https://archive.org/details/jenseitsvongutu00nietgoog","texts","95","Nietzsche, Friedrich Wilhelm, 1844-1900","Leipzig : C.G. Naumann","294"
"literature","Henry Miller","Pentecostal hymns","pentecostalhymns00date_1","https://archive.org/details/pentecostalhymns00date_1","texts","95","Date, Henry. com, Hoffman, Eugene Augustus, 1829-1902. edt, Ogden, W. A. (William Augustine), 1841-1897. edt, Tenney, J. H. (John Harrison), 1840-1918. edt","Chicago : Hope Pub. Co.","428"
"literature","Henry Miller","History of Banstead in Surrey","historyofbanstea01lamb","https://archive.org/details/historyofbanstea01lamb","texts","95","Lambert, Henry Charles Miller, 1868-","London, Oxford Univ. Press","414"
"literature","Henry Miller","American journal of philology","americanjournal02rowegoog","https://archive.org/details/americanjournal02rowegoog","texts","95","Basil Lanneau Gildersleeve, Charles William Emil Miller , Project Muse , Benjamin Dean Meritt , JSTOR (Organization ), Tenney Frank , Harold Fredrik Cherniss, Henry Thompson Rowell","Baltimore, Johns Hopkins University Press","548"
"literature","Henry Miller","Amiel's journal; the Journal intime of Henri-Frédéric Amiel","amielsjournaljou00amieiala","https://archive.org/details/amielsjournaljou00amieiala","texts","95","Amiel, Henri Frédéric, 1821-1881, Ward, Humphry, Mrs., 1851-1920, Miller, Henry, 1891-1980, former owner","New York : A.L. Burt","466"
"literature","Charles Bukowski","Notes of a dirty old man","notesofdirtyoldm00buko","https://archive.org/details/notesofdirtyoldm00buko","texts","95","Bukowski, Charles","[San Francisco] City Lights Books","262"
"literature","Charles Bukowski","Erections, ejaculations, exhibitions and general tales of ordinary madness","erectionsejacula00buko","https://archive.org/details/erectionsejacula00buko","texts","95","Bukowski, Charles","San Francisco, Calif. : City Lights Books","496"
"literature","Charles Bukowski","Das Schlimmste kommt noch oder Fast eine Jugend : Roman","dasschlimmstekom0000buko","https://archive.org/details/dasschlimmstekom0000buko","texts","95","Bukowski, Charles","München : Deutscher Taschenbuch Verlag","350"
"figures","Columbine","Columbine","columbine00cull","https://archive.org/details/columbine00cull","texts","95","Cullen, David, 1961-","New York : Twelve","426"
"visual_art_and_artists","Frank Lloyd Wright","Masterpieces of world literature in digest form","masterpiecesofwo03magi","https://archive.org/details/masterpiecesofwo03magi","texts","94","Magill, Frank N. (Frank Northen), 1907-1997, Magill, Frank N. (Frank Northen), 1907-1997, ed. Masterplots","New York, Harper","292"
"literature","Albert Camus","Noces : suivi de l'Été","nocessuividelt00camu","https://archive.org/details/nocessuividelt00camu","texts","94","Camus, Albert, 1913-1960","Paris : Gallimard","200"
"literature","Friedrich Nietzsche","When Nietzsche wept","whennietzschewep00yalo","https://archive.org/details/whennietzschewep00yalo","texts","94","Yalom, Irvin D., 1931-","New York, NY : Basic Books","332"
"literature","Friedrich Nietzsche","Also sprach Zarathustra. Ein Buch für Alle und Keinen","alsosprachzarat00nietgoog","https://archive.org/details/alsosprachzarat00nietgoog","texts","94","Nietzsche, Friedrich Wilhelm, 1844-1900","Leipzig, C.G. Naumann","512"
"literature","Friedrich Nietzsche","Friedrich Nietzsche : his life and work","friedrichnietzsc00mg","https://archive.org/details/friedrichnietzsc00mg","texts","94","Mügge, Maximilian A. (Maximilian August), b. 1878","New York : Brentano's","468"
"literature","Henry Miller","A plain introduction to the criticism of the New Testament for the use of Biblical students","cu31924092355118","https://archive.org/details/cu31924092355118","texts","94","Scrivener, Frederick Henry Ambrose, 1813-1891, Miller, Edward, 1825-1901","London, New York : G. Bell","444"
"literature","Henry Miller","The Cox family in America : a history and genealogy of the older branches of the family from the appearance of its first representative in this country in 1610","bub_gb_PTNGAAAAMAAJ","https://archive.org/details/bub_gb_PTNGAAAAMAAJ","texts","94","Cox, Henry Miller, 1854-1916, Cocks, George William, b. 1829. History and genealogy of the Cock-Cocks-Cox family. 1912, Cox, John, 1860-1951. History and genealogy of the Cock-Cocks-Cox family. 1912","New York : [s.n.]","781"
"literature","Henry Miller","Annals of Sandy Spring ... history of a rural community in Maryland","annalsofsandyspr02farq","https://archive.org/details/annalsofsandyspr02farq","texts","94","Farquhar, William Henry, Moore, Eliza Needles Bentley, Mrs., 1843-, Miller, Rebecca Thomas, 1864-1938, Thomas, Mary Moore, 1879-1925, Kirk, Annie B","Baltimore, Cushings & Bailey","378"
"literature","Henry Miller","Mechanical drafting","mechanicaldrafti00milliala","https://archive.org/details/mechanicaldrafti00milliala","texts","94","Miller, Henry Willard, 1884-, Illinois. University. Dept. of general engineering drawing","Peoria, Ill. : The Manual arts press","240"
"literature","Marquis de Sade","Juliette, or, vice amply rewarded","julietteorviceam00sade","https://archive.org/details/julietteorviceam00sade","texts","94","Sade, marquis de, 1740-1814","New York : Lancer Books","360"
"literature","Henry Miller","Henry and June : from the unexpurgated diary of Anaïs Nin","henryjunefromune00nina","https://archive.org/details/henryjunefromune00nina","texts","93","Nin, Anaïs, 1903-1977","San Diego : Harcourt Brace Jovanovich","300"
"literature","Henry Miller","Brethren at Work, The (1882)","brethrenatwork187150mill","https://archive.org/details/brethrenatwork187150mill","texts","93","Miller, R. H. (Robert Henry), 1825-1892","Lanark, Ill. : R. H. Miller, M. M. Eshelman, and Joseph Amick","404"
"literature","Henry Miller","Opus pistorum","opuspistorum00millrich","https://archive.org/details/opuspistorum00millrich","texts","93","Miller, Henry, 1891-1980","New York : Grove Press","300"
"literature","Henry Miller","The novels and tales of Henry James","cu31924009111687","https://archive.org/details/cu31924009111687","texts","93","James, Henry, 1843-1916, Lubbock, Percy, 1879-","[New York, C. Scribner's Sons","454"
"literature","Henry Miller","Brethren at Work, The (1883)","brethrenatwork188125moor","https://archive.org/details/brethrenatwork188125moor","texts","93","Moore, John Henry, 1846-1935","Mt. Morris, Ill. : D. L. Miller and Joseph Amick","208"
"literature","Henry Miller","The fathers of the German Reformed Church in Europe and America","fathersofgermanr05harb","https://archive.org/details/fathersofgermanr05harb","texts","93","Harbaugh, Henry, 1817-1867, Heisler, D. Y. (Daniel Yost), 1820-1888, Deatrick, William Miller, 1823-1901, Bready, Guy Pearre, 1882-","Lancaster : Sprenger & Westhaeffer","447"
"literature","Henry Miller","Memoirs of the American Revolution : from its commencement to the year 1776, inclusive, as relating to the state of South-Carolina, and occasionally refering [sic] to the states of North-Carolina and Georgia","memoirsofamerica02dray","https://archive.org/details/memoirsofamerica02dray","texts","93","Drayton, John, 1766-1822, Drayton, William Henry, 1742-1779","Charleston : Printed by A.E. Miller","424"
"literature","Henry Miller","Life and public services of John Quincy Adams, sixth president of the United States","lifepublicservice00sewa","https://archive.org/details/lifepublicservice00sewa","texts","93","Seward, William Henry, 1801-1872","Auburn, Derby & Miller; Buffalo, Derby, Orton & Mulligan","424"
